Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18015,0-2429,2429-5093,2429-5093,5093-7836,5093-7836,7836-9351,9351-12355,9351-12355,12355-18259,12355-18259,12355-18259,18259-19278,19278-20715,20715-23745,20715-23745,23745-25809,23745-25809,25809-26985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18016,0-3579,0-3579,3579-6583,3579-6583,6583-8751,6583-8751,8751-10109,10109-11964,10109-11964,11964-13897,13897-14942,14942-19331,14942-19331,14942-19331,19331-21055,21055-23145,21055-23145,23145-26410,23145-26410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18017,0-2273,0-2273,2273-3187,3187-5982,3187-5982,5982-8673,5982-8673,8673-11311,8673-11311,11311-12669,12669-15699,12669-15699,15699-18311,15699-18311,18311-19225,19225-19956,19956-22960,19956-22960,22960-24397,24397-25128,25128-28472,25128-28472,28472-31790,28472-31790,28472-31790,31790-34141,31790-34141,34141-36779,34141-36779,36779-39261,36779-39261,39261-40463,40463-43859,40463-43859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18018,0-2168,2168-5407,2168-5407,5407-8019,8019-10448,10448-13086,10448-13086,13086-16952,13086-16952,16952-23718,16952-23718,16952-23718,23718-26931,26931-29256,26931-29256,29256-30954,30954-33018,33018-34324,34324-38399,34324-38399,38399-39705,39705-40985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18019,0-2011,2011-4231,4231-7287,7287-8776,8776-9769,9769-13478,9769-13478,13478-14053,14053-15646,15646-16900,16900-18598,18598-19956,19956-20609,20609-21915,21915-23926,23926-25180,25180-26904,26904-28288,28288-29385,29385-31005,31005-32651,32651-36674,32651-36674,36674-38372,38372-40880,38372-40880,40880-43074,43074-44563,44563-45843,45843-53706,45843-53706,45843-53706,45843-53706,53706-56162,56162-59532,56162-59532,59532-60681,60681-61909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18020,0-2038,2038-4520,2038-4520,4520-6244,6244-8334,8334-8935,8935-11103,11103-11782,11782-13611,13611-16589,13611-16589,16589-17477,17477-18626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18021,0-2038,2038-3788,3788-5408,5408-7263,7263-8935,8935-11208,8935-11208,11208-16276,11208-16276,11208-16276,16276-18078,16276-18078,18078-19306,19306-19907,19907-22624,22624-24244,24244-25681,25681-27823,25681-27823,27823-31611,27823-31611,31611-33257,33257-34589,34589-35556,35556-38090,35556-38090,38090-39474,39474-40623,40623-41981,41981-45011,45011-48459,45011-48459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18022,0-2247,2247-5800,2247-5800,5800-7184,7184-9378,9378-13322,9378-13322,13322-14602,14602-18808,14602-18808,18808-21055,21055-25078,21055-25078,25078-26358,26358-28004,26358-28004,28004-29284,29284-34064,29284-34064,29284-34064,34064-35187,35187-37042,37042-39184,37042-39184,39184-40333,40333-41430,41430-48588,41430-48588,41430-48588,41430-48588,48588-51305,48588-51305,51305-52481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18023,0-3474,0-3474,3474-5041,5041-6817,6817-10187,6817-10187,10187-11258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18024,0-1123,1123-5721,1123-5721,1123-5721,5721-8150,5721-8150,8150-9064,9064-10553,10553-11546,11546-12695,12695-15281,12695-15281,15281-16587,16587-18180,18180-18833,18833-20035,20035-21289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18025,0-1515,1515-2168,2168-3552,3552-4910,4910-7966,4910-7966,7966-9795,9795-10944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18026,0-1907,0-1907,1907-3239,3239-4310,4310-5642,5642-6687,6687-9952,6687-9952,9952-11519,11519-12695,12695-13688,13688-15125,15125-20271,15125-20271,15125-20271,15125-20271,20271-25548,20271-25548,20271-25548,20271-25548,25548-26253,26253-27846,27846-28995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18027,0-1097,1097-1828,1828-3134,3134-4414,4414-7000,4414-7000,7000-8280,8280-10553,8280-10553,10553-13061,13061-15621,13061-15621,15621-18338,15621-18338,18338-20193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18028,0-1097,1097-2612,2612-4806,2612-4806,4806-6504,6504-10396,6504-10396,10396-12381,12381-14262,14262-15411,15411-17501,15411-17501,17501-19408,19408-20819,20819-22099,22099-26383,22099-26383,22099-26383,26383-28238,26383-28238,28238-28969,28969-30693,30693-32156,32156-34664,32156-34664,34664-36440,36440-37903,37903-39340,39340-40933,40933-42161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18029,0-2168,0-2168,2168-4153,2168-4153,4153-7314,4153-7314,7314-12408,7314-12408,7314-12408,12408-14132,14132-15752,15752-17450,17450-19932,19932-21238,21238-22649,22649-23720,23720-25888,25888-29310,25888-29310,29310-30903,30903-35135,30903-35135,35135-38479,35135-38479,38479-40987,38479-40987,40987-43260,43260-45167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18030,0-2978,0-2978,2978-4519,4519-8019,4519-8019,8019-9743,9743-11885,9743-11885,11885-12878,12878-13531,13531-14889,14889-16221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18031,0-2142,2142-3109,3109-5512,5512-8438,5512-8438,8438-13088,8438-13088,8438-13088,13088-15073,15073-16327,16327-17006,17006-18573,18573-23536,18573-23536,18573-23536,23536-25077,25077-35552,25077-35552,25077-35552,25077-35552,25077-35552,35552-36832,36832-40306,36832-40306,40306-42788,40306-42788,42788-44355,44355-46236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18032,0-1176,1176-5460,1176-5460,1176-5460,5460-7001,7001-9065,9065-11625,11625-12278,12278-17163,12278-17163,17163-20951,17163-20951,20951-22858,22858-24269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18033,0-3709,0-3709,3709-4937,4937-6374,6374-10110,6374-10110,6374-10110,10110-11416,11416-13558,13558-15752,15752-17032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18034,0-1437,1437-2534,2534-5669,2534-5669,5669-7968,7968-9065,9065-11207,11207-11886,11886-13297,13297-14890,14890-18312,14890-18312,18312-19618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18035,0-1489,1489-3866,3866-4989,4989-8359,4989-8359,8359-9378,9378-11781,9378-11781,11781-14341,11781-14341,14341-16091,16091-17240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18036,0-4075,0-4075,0-4075,4075-9639,4075-9639,4075-9639,9639-10527,10527-11885,11885-14367,14367-17162,14367-17162,17162-19461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18037,0-1045,1045-2194,2194-4127,4127-5276,5276-7496,7496-9168,9168-10761,10761-12250,12250-16848,12250-16848,12250-16848,16848-21315,16848-21315,16848-21315,21315-23117,23117-24423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18038,0-2273,2273-4180,2273-4180,4180-5460,5460-7837,5460-7837,7837-9535,9535-10711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18039,0-1541,1541-2116,2116-3631,3631-5956,5956-6949,6949-10267,6949-10267,6949-10267,10267-12331,10267-12331,12331-13454,13454-15622,15622-17869,15622-17869,17869-18548,18548-19802,19802-21343,21343-24399,21343-24399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18040,0-1254,1254-2534,2534-5172,2534-5172,5172-9979,5172-9979,5172-9979,9979-11703,11703-13375,13375-18495,13375-18495,13375-18495,18495-20167,20167-23511,20167-23511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18041,0-601,601-1985,1985-4441,4441-9404,4441-9404,4441-9404,9404-10501,10501-11650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18042,0-1672,1672-3501,3501-5173,5173-6793,6793-8334,8334-9483,9483-10267,10267-12122,12122-13271,13271-14394,14394-16301,16301-17424,17424-19200,19200-20898,20898-23171,23171-24947,23171-24947,24947-26593,26593-27742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18043,0-2717,0-2717,0-2717,2717-7001,2717-7001,7001-10397,7001-10397,7001-10397,10397-12461,10397-12461,12461-14812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18044,0-3553,0-3553,3553-6453,3553-6453,6453-7263,7263-12566,7263-12566,7263-12566,12566-13872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18045,0-1306,1306-6661,1306-6661,1306-6661,1306-6661,6661-8725,8725-11520,11520-14550,11520-14550,14550-16352,16352-17397,17397-20035,17397-20035,20035-21733,21733-27793,21733-27793,21733-27793,27793-30457,27793-30457,30457-31580,31580-32625,32625-36099,32625-36099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18046,0-1593,1593-3526,3526-7836,3526-7836,3526-7836,7836-12564,7836-12564,12564-13818,13818-15490,15490-17005,17005-20453,17005-20453,20453-21550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18047,0-1358,1358-4467,1358-4467,4467-6740,4467-6740,6740-11416,6740-11416,11416-13715,11416-13715,13715-14995,14995-16144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18048,0-1515,1515-2664,2664-4127,4127-6347,4127-6347,6347-8411,8411-9273,9273-11467,11467-12773,12773-14001,14001-14706,14706-16352,16352-19199,16352-19199,19199-22072,19199-22072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18049,0-2873,0-2873,2873-5825,2873-5825,5825-7758,7758-9430,9430-10475,10475-12643,12643-15125,15125-18678,15125-18678,15125-18678,18678-21029,18678-21029,21029-26071,21029-26071,21029-26071,26071-27194,27194-28996,28996-30563,30563-31373,31373-32757,32757-34533,34533-36858,34533-36858,36858-38347,38347-39523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18050,0-914,914-2011,2011-5982,2011-5982,5982-7654,7654-9221,9221-10344,10344-11885,11885-12904,12904-15386,12904-15386,15386-16875,16875-17633,17633-18626,18626-19775,19775-23093,23093-25888,25888-28135,28135-30643,28135-30643,30643-31662,31662-32811,32811-34065,34065-35188,35188-37826,37826-39158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18051,0-2638,0-2638,2638-5720,2638-5720,5720-7470,7470-9534,7470-9534,9534-11859,11859-14523,11859-14523,14523-18285,14523-18285,18285-19748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18052,0-1384,1384-2873,2873-4205,4205-8437,4205-8437,8437-10057,10057-11755,11755-14759,11755-14759,14759-15673,15673-17528,17528-20976,17528-20976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18053,0-4650,0-4650,0-4650,4650-6505,6505-11442,6505-11442,11442-13584,11442-13584,13584-14995,14995-16615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18054,0-1384,1384-3160,3160-3839,3839-6712,3839-6712,6712-8985,8985-11127,8985-11127,11127-12146,12146-15960,12146-15960,15960-17266,17266-20139,17266-20139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18055,0-3474,0-3474,0-3474,3474-5930,3474-5930,5930-6505,6505-10005,6505-10005,10005-12382,12382-13897,13897-15046,15046-17841,15046-17841,17841-21629,17841-21629,21629-22204,22204-25652,22204-25652,25652-26723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18056,0-4075,0-4075,0-4075,4075-5146,5146-7236,7236-10658,10658-14028,10658-14028,14028-15308,15308-17267,17267-19069,19069-20976,19069-20976,20976-22778,22778-24633,24633-27559,24633-27559,27559-28813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18057,0-993,993-2377,2377-5695,2377-5695,5695-7654,7654-9247,9247-10840,10840-12120,12120-13504,13504-14262,14262-15699,15699-17867,17867-19408,19408-21028,21028-22230,22230-23902,23902-26070,26070-28943,26070-28943,28943-29988,29988-32052,32052-33254,32052-33254,32052-33254,33254-36127,33254-36127,36127-37825,36127-37825,37825-40542,40542-41404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18058,0-1097,0-1097,1097-4310,1097-4310,4310-5982,5982-6687,5982-6687,6687-11807,11807-13583,13583-17057,13583-17057,17057-22673,17057-22673,17057-22673,17057-22673,17057-22673,22673-25625,22673-25625,25625-27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18059,0-2377,0-2377,2377-4754,4754-6609,6609-7941,7941-9770,9770-13871,9770-13871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18060,0-993,993-2038,2038-3370,3370-5094,5094-7105,5094-7105,7105-8385,8385-9613,9613-12748,9613-12748,12748-13323,13323-14629,14629-15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18061,0-1985,1985-3422,3422-4833,4833-6662,6662-8046,8046-10031,10031-11807,11807-13766,13766-15438,13766-15438,15438-16770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18062,0-1933,1933-3683,3683-4728,4728-6530,6530-8045,8045-10527,10527-11520,11520-13140,13140-15935,13140-15935,15935-17137,17137-18469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18063,0-1097,1097-2795,2795-3422,3422-4885,4885-6975,4885-6975,6975-8751,8751-11285,8751-11285,11285-14838,11285-14838,14838-17581,14838-17581,17581-18156,18156-19514,19514-21186,21186-23093,23093-24634,23093-24634,24634-25940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18064,0-993,993-2534,2534-3318,3318-5251,5251-6244,6244-7968,7968-9170,9170-11495,11495-12801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18065,0-1463,1463-3762,1463-3762,3762-5617,5617-7811,7811-10267,7811-10267,10267-12148,12148-14577,14577-17033,14577-17033,17033-18235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18066,0-1019,1019-2064,2064-3396,3396-4023,4023-5852,5852-6975,6975-9979,6975-9979,9979-11703,11703-13427,13427-14681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18067,0-1045,1045-2952,2952-6087,2952-6087,6087-7236,7236-8490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18068,0-1384,1384-2690,2690-3839,3839-4701,4701-6242,4701-6242,6242-7261,7261-8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18069,0-993,993-2795,2795-6583,2795-6583,2795-6583,6583-10919,6583-10919,6583-10919,10919-11781,11781-12878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18070,0-1019,1019-3840,1019-3840,3840-6478,3840-6478,6478-8907,6478-8907,8907-10239,10239-11545,11545-12407,12407-13530,13530-14784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18071,0-2351,2351-3631,3631-4519,4519-5799,5799-7967,5799-7967,7967-9769,9769-10762,10762-12852,12852-14628,14628-16117,16117-17214,17214-18416,18416-19800,19800-20923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18072,0-1045,1045-2769,1045-2769,2769-4676,4676-7811,4676-7811,7811-9039,9039-10319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18073,0-1019,1019-3919,1019-3919,3919-4964,4964-6453,6453-9379,6453-9379,9379-10058,10058-11234,11234-12645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18074,0-2456,2456-3788,3788-4755,4755-6192,6192-10345,6192-10345,10345-11416,11416-13192,13192-19252,13192-19252,13192-19252,19252-21629,19252-21629,21629-22883,22883-25992,22883-25992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18075,0-1045,1045-3605,1045-3605,1045-3605,3605-5695,5695-9039,5695-9039,9039-10293,10293-11651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18076,0-1045,1045-4075,1045-4075,4075-8725,4075-8725,4075-8725,8725-11912,8725-11912,11912-12565,12565-14158,14158-16901,14158-16901,16901-18390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18077,0-2560,2560-3892,3892-4859,4859-6139,6139-7210,7210-10632,7210-10632,10632-12173,12173-13375,13375-17111,13375-17111,17111-18626,18626-19932,19932-23406,19932-23406,23406-26776,23406-26776,26776-28631,28631-29676,29676-31531,29676-31531,31531-33673,33673-35345,35345-36521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18078,0-1071,1071-2351,2351-3814,3814-5198,5198-6818,6818-9169,9169-11285,11285-15674,11285-15674,11285-15674,11285-15674,15674-16980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18079,0-3161,0-3161,3161-4728,4728-7131,7131-9195,9195-10919,9195-10919,10919-12695,12695-13322,13322-15177,15177-16666,16666-23040,16666-23040,16666-23040,23040-23980,23980-25939,25939-27297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18080,0-3344,0-3344,3344-4807,4807-6505,6505-8490,8490-10345,10345-13506,10345-13506,13506-17450,13506-17450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
